AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,RS227,Attribute,235.5344833,196.7290484,275.4437711,1252.427087,1046.082788,1464.641406,5.089353213,4.250849575,5.951712159
pm25v0,RS226,Attribute,80.81058555,64.2028065,97.43525058,946.2397167,751.7728754,1140.904533,3.002485104,2.385368751,3.620260834
pm25v0,RS225,Attribute,499.1586195,434.5771887,567.2320358,1374.109832,1196.326547,1561.506097,3.821752704,3.327288814,4.342953828
pm25v0,RS224,Attribute,363.4995534,308.4016558,420.2748008,1797.990535,1525.456851,2078.821368,4.153838527,3.524147489,4.802724942
pm25v0,RS223,Attribute,142.1379486,109.6202927,174.2154671,1307.138667,1008.096732,1602.133466,3.601595235,2.777517861,4.414590058
pm25v0,RS222,Attribute,214.6315042,177.4150378,251.2005797,1269.39104,1049.28172,1485.671775,3.980451358,3.290264395,4.6586276
pm25v0,RS221,Attribute,113.6634237,90.20365248,135.7948914,997.8773509,791.9182529,1192.175121,3.212118267,2.549123942,3.837584812
pm25v0,RS218,Attribute,378.8326987,315.5400491,440.7033821,1333.496395,1110.704958,1551.282646,3.734786208,3.110802755,4.344751739
pm25v0,RS217,Attribute,164.6228218,135.5787424,194.132593,538.7237796,443.6777624,635.2937809,2.946345597,2.426543277,3.474475456
pm25v0,RS216,Attribute,218.6179767,179.2441278,257.7458395,969.3094669,794.7329347,1142.795587,3.677448,3.015085759,4.335690296
pm25v0,RS215,Attribute,232.2243528,193.0089508,268.6077408,1155.873375,960.6821744,1336.968651,3.976405071,3.304860852,4.599472484
pm25v0,RS214,Attribute,123.3719006,98.37338738,147.5226363,613.3666957,489.08169,733.4368948,2.724654025,2.172563459,3.258022121
pm25v0,RS213,Attribute,305.17973,243.7499515,363.1067411,1083.437582,865.3510344,1289.089086,4.287703429,3.424613901,5.101586393
pm25v0,RS212,Attribute,174.7154502,139.2921878,210.2930824,1062.119185,846.7754423,1278.401815,3.954192866,3.152468834,4.759420132
pm25v0,RS211,Attribute,142.9603775,114.6695254,169.7115342,529.9937337,425.1115162,629.1679494,2.35519581,1.889128148,2.795894169
pm25v0,RS127,Attribute,222.5085619,184.6253196,258.6663253,741.5957027,615.3349867,862.1056557,3.23293604,2.682494933,3.758312595
pm25v0,RS126,Attribute,163.4829602,137.2927582,189.5771071,926.4777523,778.0545392,1074.35667,3.293181729,2.765566306,3.818878607
pm25v0,RS125,Attribute,247.1463703,210.2606335,283.9407098,1374.147873,1169.060889,1578.726749,3.053392333,2.597665482,3.50799655
pm25v0,RS124,Attribute,124.8857306,106.1735495,144.1232721,907.3062468,771.3603314,1047.069035,3.175739171,2.699862939,3.66499132
